"","taxon","stat","p","p.adj"
"1","Neisseria",13036,0.0525387584626472,0.15138286336695
"2","Haemophilus",8766.5,0.000281213738665284,0.00318708903820655
"3","Streptococcus",14443,0.000160056928361137,0.00226747315178278
"4","Prevotella",13411,0.0151737308565812,0.0716537290449668
"5","Moraxella",7785,1.46616220914263e-08,8.30825251847488e-07
"6","Veillonella",15373.5,6.05246641537354e-07,2.057838581227e-05
"7","Fusobacterium",9865,0.0278720936350773,0.100813955701343
"8","Porphyromonas",13238,0.0276273181083721,0.100813955701343
"9","Lautropia",15975,7.25172315353499e-09,6.16396468050474e-07
"10","Actinobacillus",10358,0.0929967560556679,0.222668289147374
"11","Gemella",14077,0.000976039807741244,0.00829633836580057
"12","Alloprevotella",12025,0.535530875665847,0.725369391770862
"13","Leptotrichia",11880,0.666705031690219,0.827689433111996
"14","Rothia",14993,6.87700005446941e-06,0.000167012858465686
"15","Aggregatibacter",8268,3.85424649289651e-06,0.000109203650632068
"16","Granulicatella",14695,4.05054484246737e-05,0.000765102914688281
"17","Escherichia/Shigella",11547.5,0.985127999446165,0.992563676758255
"18","ASV_52",12862,0.0448344505757168,0.136104582104854
"19","Actinomyces",14148.5,0.000650321461412824,0.00614192491334334
"20","Pseudomonas",11847.5,0.107669811228829,0.245259398810916
"21","ASV_62",9679,0.00230111218533464,0.0177813214321313
"22","Campylobacter",12015,0.542576506182753,0.725369391770862
"23","Bergeyella",12636,0.120224501443265,0.265430717472144
"24","ASV_68",12124,0.221250512476214,0.35821511543768
"25","ASV_77",13114.5,0.0276998664760443,0.100813955701343
"26","Enterococcus",11775,0.087036425671842,0.217591064179605
"27","Dolosigranulum",11323,0.481088377929387,0.67590929130575
"28","Corynebacterium",12227,0.296515472157218,0.471099348287168
"29","Streptobacillus",8983.5,1.53572689196468e-05,0.000326341964542494
"30","Oribacterium",14352,9.07232032934578e-05,0.00140208586908071
"31","ASV_112",11316,0.416794683767312,0.605599113166179
"32","Stomatobaculum",11428,0.858000342255595,0.992563676758255
"33","Lachnoanaerobaculum",13196.5,0.0240539849799638,0.0997360352827766
"34","ASV_120",11697,0.427460718745848,0.615833238871136
"35","ASV_126",11544.5,0.978393193888125,0.992563676758255
"36","Mannheimia",11370,0.683460420396217,0.831664828559449
"37","TM7x",12774,0.0669560102066808,0.186598716969438
"38","Tropheryma",11308,0.401012331016142,0.587690485109864
"39","Solobacterium",11130.5,0.529371428366985,0.725369391770862
"40","Peptostreptococcus",11077,0.500345136146505,0.69720223889267
"41","Abiotrophia",13075.5,0.0088567638091849,0.0478670023881388
"42","Oceanivirga",10252,0.000221554565294081,0.00269030543571384
"43","ASV_157",10836,0.0341583012855371,0.120977317052944
"44","ASV_163",12147.5,0.108202675945993,0.245259398810916
"45","Bordetella",11396,0.152531054201524,0.286561616059158
"46","ASV_180",12288.5,0.0860765359594737,0.217591064179605
"47","ASV_182",11603,0.876144164360617,0.992563676758255
"48","ASV_187",10915.5,0.0227085197216356,0.0965112088169512
"49","Treponema",7833,7.52898094880794e-12,1.27992676129735e-09
"50","Eikenella",12055,0.166977105737482,0.286728363387595
"51","ASV_203",11454,0.700066397767317,0.844051685251375
"52","ASV_205",9947,6.8221138313887e-05,0.00115975935133608
"53","ASV_209",10415,0.00422164527554482,0.0276030652631777
"54","F0058",14428.5,2.62077447558602e-07,1.11382915212406e-05
"55","ASV_214",11002,0.0272078820619232,0.100813955701343
"56","ASV_216",11465,0.781820236404797,0.93346135225077
"57","Conchiformibius",11756,0.667082709684768,0.827689433111996
"58","Hydrogenophaga",11604,0.860808076111799,0.992563676758255
"59","Catonella",10970,0.360582971816243,0.537711449199661
"60","Candidatus_Saccharimonas",13724.5,0.000218616478772261,0.00269030543571384
